order_id,order_date,region,category,quantity,unit_price,discount
ORD-000000,2025-04-07,Busan,Beauty,6,12609.0,0
ORD-000001,2025-04-08,Busan,Home,1,262252.0,0.05
ORD-000002,2025-03-01,Gwangju,Beauty,3,34466.0,0.15
ORD-000003,2025-01-11,Seoul,Electronics,3,127645.0,0
ORD-000004,2025-04-16,Busan,Beauty,3,46037.0,0
ORD-000005,2025-03-22,Busan,Beauty,3,53570.0,0
ORD-000006,2025-03-26,Busan,Food,1,213160.0,0
ORD-000007,2025-01-10,Daegu,Home,1626,67469.0,0.1
ORD-000008,2025-01-23,Gwangju,Food,6,148304.0,0
ORD-000009,2025-02-05,Seoul,Food,10,,0.05
ORD-000010,2025-04-24,Incheon,Home,7,,0
ORD-000011,2025-03-12,Daegu,Food,6,212470.0,0.15
ORD-000012,2025-03-24,Seoul,Electronics,1,212602.0,0
ORD-000013,2025-04-20,Incheon,Electronics,9,53312.0,0
ORD-000014,2025-02-12,Seoul,Food,5,252385.0,0
ORD-000015,2025-01-03,Daegu,Electronics,3,174683.0,0.1
ORD-000016,2025-02-28,Seoul,Fashion,8,119993.0,0.1
ORD-000017,2025-03-14,Seoul,Fashion,1,8985.0,0
ORD-000018,2025-02-15,Daegu,Electronics,10,107341.0,0.15
ORD-000019,2025-01-11,Incheon,Food,7,280292.0,0
ORD-000020,2025-01-15,Seoul,Food,10,234387.0,0
ORD-000021,2025-02-17,Daegu,Fashion,10,239159.0,0.1
ORD-000022,2025-03-06,Gwangju,Beauty,6,288007.0,0
ORD-000023,2025-04-13,Gwangju,Home,7,229802.0,0
ORD-000024,2025-03-31,Busan,Food,8,135378.0,0.15
ORD-000025,2025-04-27,Daegu,Food,2,38896.0,0
ORD-000026,2025-02-04,Busan,Fashion,8,187275.0,0.05
ORD-000027,2025-01-10,Incheon,Fashion,3,200444.0,0
ORD-000028,2025-01-02,Incheon,Electronics,10,43969.0,0
ORD-000029,2025-01-30,Daegu,Fashion,6,17440.0,0.15
ORD-000030,2025-03-31,Gwangju,Electronics,3,63095.0,0
ORD-000031,2025-02-22,Incheon,Electronics,3,99800.0,0
ORD-000032,2025-01-22,Incheon,Food,5,126204.0,0.1
ORD-000033,2025-04-16,Busan,Food,7,181139.0,0
ORD-000034,2025-03-09,Busan,Home,8,51825.0,0.05
ORD-000035,2025-02-10,Gwangju,Electronics,3,15399.0,0
ORD-000036,2025-03-18,Seoul,Food,10,83798.0,0.05
ORD-000037,2025-02-25,Incheon,Home,2,280275.0,0
ORD-000038,2025-01-13,Busan,Fashion,6,145929.0,0
ORD-000039,2025-03-14,,Food,3,184236.0,0
ORD-000040,2025-04-08,Incheon,Fashion,4,164765.0,0.15
ORD-000041,2025-01-22,Incheon,Fashion,6,182841.0,0.1
ORD-000042,2025-04-06,Daegu,Electronics,4,169414.0,0.05
ORD-000043,2025-03-18,Busan,Beauty,1,38699.0,0
ORD-000044,2025-01-18,Seoul,Beauty,2,,0.05
ORD-000045,2025-04-16,Busan,Food,10,59728.0,0.1
ORD-000046,2025-01-04,Gwangju,Beauty,3,188425.0,0
ORD-000047,2025-02-26,Incheon,Fashion,7,74652.0,0.05
ORD-000048,2025-03-01,Busan,Electronics,10,253518.0,0
ORD-000049,2025-03-09,Incheon,Electronics,3,93316.0,0.05
ORD-000050,2025-02-19,,Food,3,181904.0,0
ORD-000051,2025-04-30,Gwangju,Fashion,7,253333.0,0
ORD-000052,2025-04-30,Seoul,Fashion,1,119954.0,0.05
ORD-000053,2025-02-07,Gwangju,Beauty,9,147332.0,0.15
ORD-000054,2025-03-15,,Home,6,136412.0,0
ORD-000055,2025-04-15,Incheon,Fashion,6,281691.0,0
ORD-000056,2025-02-14,Seoul,Beauty,4,203774.0,0
ORD-000057,2025-04-11,Incheon,Fashion,10,205292.0,0
ORD-000058,2025-02-13,Busan,Electronics,1,188822.0,0.15
ORD-000059,2025-04-14,Daegu,Food,3,239824.0,0.15
ORD-000060,2025-04-01,Busan,Food,8,196815.0,0.15
ORD-000061,2025-01-21,Seoul,Beauty,10,229090.0,0.15
ORD-000062,2025-04-07,Incheon,Electronics,9,6042.0,0
ORD-000063,2025-01-08,Incheon,Home,2,213095.0,0.05
ORD-000064,2025-01-17,Daegu,Fashion,9,298876.0,0.15
ORD-000065,2025-02-05,Seoul,Food,5,6122.0,0
ORD-000066,2025-04-29,Gwangju,Fashion,10,76021.0,0
ORD-000067,2025-04-16,Seoul,Food,8,241079.0,0.15
ORD-000068,2025-03-31,Daegu,Food,10,42014.0,0
ORD-000069,2025-03-18,Incheon,Home,1,162798.0,0
ORD-000070,2025-03-22,Incheon,Food,3,32380.0,0.05
ORD-000071,2025-02-01,Incheon,Electronics,3,234836.0,0
ORD-000072,2025-03-14,,Home,1,41870.0,0
ORD-000073,2025-04-26,Daegu,Fashion,618,250721.0,0.15
ORD-000074,2025-01-11,Busan,Home,10,273192.0,0.1
ORD-000075,2025-04-16,Gwangju,Electronics,9,231986.0,0.1
ORD-000076,2025-02-02,Incheon,Beauty,7,140176.0,0.05
ORD-000077,2025-04-12,Seoul,Food,5,107640.0,0
ORD-000078,2025-03-28,Busan,Food,3,26963.0,0.15
ORD-000079,2025-04-27,Busan,Food,2,135906.0,0.1
ORD-000080,2025-05-01,Daegu,Food,9,181893.0,0.1
ORD-000081,2025-01-24,Gwangju,Electronics,1,175540.0,0
ORD-000082,2025-02-01,Daegu,Food,4,259101.0,0.1
ORD-000083,2025-01-11,Gwangju,Food,8,34220.0,0.15
ORD-000084,2025-02-04,Incheon,Home,1,150925.0,0
ORD-000085,2025-03-18,Daegu,Food,7,143119.0,0.05
ORD-000086,2025-01-13,Daegu,Beauty,5,271557.0,0
ORD-000087,2025-02-26,Gwangju,Electronics,10,199439.0,0
ORD-000088,2025-01-30,Daegu,Food,3,213906.0,0.15
ORD-000089,2025-02-27,Busan,Fashion,6,79208.0,0
ORD-000090,2025-04-19,Busan,Electronics,10,280316.0,0
ORD-000091,2025-03-08,Seoul,Electronics,8,93834.0,0
ORD-000092,2025-02-28,Daegu,Beauty,9,208548.0,0.05
ORD-000093,2025-01-17,Incheon,Home,2,36887.0,0
ORD-000094,2025-04-17,Gwangju,Beauty,9,233392.0,0
ORD-000095,2025-01-17,Gwangju,Beauty,6,73780.0,0
ORD-000096,2025-03-19,Seoul,Beauty,9,217295.0,0
ORD-000097,2025-03-09,Gwangju,Home,2,,0.05
ORD-000098,2025-01-15,Gwangju,Beauty,8,236407.0,0
ORD-000099,2025-03-15,,Food,6,27845.0,0
ORD-000100,2025-04-08,Busan,Home,5,14476.0,0.1
ORD-000101,2025-03-21,Seoul,Food,520,208784.0,0.1
ORD-000102,2025-03-28,Incheon,Beauty,3,156184.0,0.05
ORD-000103,2025-02-20,Gwangju,Home,7,78097.0,0.1
ORD-000104,2025-04-12,Incheon,Fashion,9,80526.0,0.15
ORD-000105,2025-01-13,Incheon,Beauty,3,135183.0,0.1
ORD-000106,2025-02-28,Incheon,Electronics,7,99152.0,0.1
ORD-000107,2025-03-03,Incheon,Beauty,3,280866.0,0.15
ORD-000108,2025-04-03,Daegu,Electronics,5,68383.0,0
