customer_id,gender,senior,tenure_months,monthly_charges,total_charges,contract,payment_method,num_services,churn
CUST-00000,Male,0,47,119.15,6083.35,Two year,Credit card,7,0
CUST-00001,Male,0,23,57.39,1218.33,One year,Bank transfer,4,0
CUST-00002,Female,0,60,91.18,4947.02,Two year,Bank transfer,8,0
CUST-00003,Male,0,8,99.28,871.84,Month-to-month,Electronic check,3,1
CUST-00004,Male,0,32,80.95,2521.76,One year,Credit card,4,1
CUST-00005,Male,1,23,96.27,2078.37,One year,Mailed check,1,0
CUST-00006,Female,0,9,96.66,820.57,Two year,Electronic check,1,1
CUST-00007,Female,1,23,115.09,2473.36,Month-to-month,Mailed check,1,1
CUST-00008,Female,0,25,33.1,844.34,Month-to-month,Bank transfer,2,1
CUST-00009,Female,0,29,32.25,953.04,Two year,Bank transfer,4,1
CUST-00010,Male,0,29,47.38,1243.74,Two year,Credit card,7,0
CUST-00011,Female,0,56,24.84,1500.4,One year,Mailed check,3,0
CUST-00012,Male,0,11,84.25,958.51,Month-to-month,Electronic check,1,1
CUST-00013,Male,0,16,36.72,579.63,Two year,Credit card,2,0
CUST-00014,Female,0,16,23.85,345.23,Month-to-month,Mailed check,3,0
CUST-00015,Male,0,14,56.92,745.59,One year,Electronic check,7,0
CUST-00016,Male,0,39,116.56,4610.18,Two year,Electronic check,6,0
CUST-00017,Female,0,36,31.1,1045.0,Two year,Credit card,5,0
CUST-00018,Female,1,13,77.42,1031.71,Two year,Bank transfer,6,0
CUST-00019,Female,0,22,115.57,2483.16,Two year,Credit card,6,1
CUST-00020,Male,0,68,92.09,6048.9,Two year,Electronic check,4,0
CUST-00021,Male,1,62,55.47,3188.72,Month-to-month,Mailed check,5,1
CUST-00022,Male,0,10,46.26,464.16,One year,Electronic check,5,0
CUST-00023,Male,0,19,91.41,1623.45,One year,Bank transfer,2,0
CUST-00024,Male,1,68,48.3,3445.85,Two year,Bank transfer,1,0
CUST-00025,Male,0,24,93.28,2041.92,One year,Bank transfer,7,0
CUST-00026,Female,0,7,116.84,770.14,Two year,Mailed check,1,0
CUST-00027,Male,0,67,102.12,6392.15,One year,Credit card,6,1
CUST-00028,Male,1,54,67.86,3699.96,Month-to-month,Electronic check,1,1
CUST-00029,Male,0,57,72.25,3889.96,Two year,Electronic check,6,0
CUST-00030,Female,0,65,63.67,4042.15,Two year,Bank transfer,6,0
CUST-00031,Female,0,63,106.03,7253.82,Two year,Credit card,8,0
CUST-00032,Female,0,36,21.94,738.7,One year,Bank transfer,4,0
CUST-00033,Male,1,18,105.41,2005.21,Two year,Electronic check,6,0
CUST-00034,Male,0,3,35.76,107.4,Month-to-month,Mailed check,6,0
CUST-00035,Male,0,29,21.98,656.92,Month-to-month,Bank transfer,1,1
CUST-00036,Female,1,26,67.15,1707.65,One year,Bank transfer,1,0
CUST-00037,Male,0,32,51.78,1672.95,Month-to-month,Credit card,8,0
CUST-00038,Female,0,13,56.01,682.26,Month-to-month,Credit card,8,1
CUST-00039,Female,0,28,92.9,2372.03,Month-to-month,Credit card,5,0
CUST-00040,Male,0,24,34.73,845.57,One year,Mailed check,6,0
CUST-00041,Male,0,69,72.31,4609.27,Month-to-month,Bank transfer,4,0
CUST-00042,Male,0,15,113.99,1800.48,Two year,Bank transfer,1,1
CUST-00043,Male,0,60,99.16,5798.82,Two year,Electronic check,8,0
CUST-00044,Male,1,60,84.05,,Month-to-month,Mailed check,8,0
CUST-00045,Female,0,41,98.39,4067.2,Two year,Bank transfer,1,0
CUST-00046,Male,0,56,23.77,1282.52,Month-to-month,Bank transfer,7,1
CUST-00047,Male,1,70,57.67,3900.44,One year,Credit card,8,0
CUST-00048,Male,0,55,83.51,4808.24,Two year,Electronic check,8,0
CUST-00049,Male,1,9,23.46,199.06,One year,Credit card,6,0
CUST-00050,Male,0,7,101.61,652.89,Month-to-month,Mailed check,7,1
CUST-00051,Female,0,56,74.68,4097.57,Two year,Bank transfer,5,0
CUST-00052,Male,0,61,81.88,4940.87,Two year,Credit card,8,0
CUST-00053,Male,0,31,27.34,794.73,Month-to-month,Electronic check,3,1
CUST-00054,Male,0,11,24.65,289.17,One year,Credit card,1,0
CUST-00055,Male,0,42,84.78,3612.51,Two year,Bank transfer,7,0
CUST-00056,Female,0,44,37.97,1658.12,One year,Credit card,2,0
CUST-00057,Female,0,50,98.89,4796.85,One year,Credit card,3,1
CUST-00058,Male,0,33,85.44,2762.86,Two year,Bank transfer,8,0
CUST-00059,Female,0,45,86.49,4156.01,Two year,Credit card,4,0
CUST-00060,Male,0,60,78.37,4783.39,One year,Credit card,8,0
CUST-00061,Female,0,19,24.65,459.18,One year,Credit card,5,0
CUST-00062,Female,1,5,38.58,203.77,Month-to-month,Mailed check,7,0
CUST-00063,Male,0,55,73.29,3717.3,Month-to-month,Mailed check,2,0
CUST-00064,Female,0,46,118.85,5239.16,Month-to-month,Bank transfer,3,0
CUST-00065,Female,0,24,82.37,1914.0,Two year,Mailed check,7,0
CUST-00066,Female,0,16,116.41,1943.8,Month-to-month,Mailed check,3,1
CUST-00067,Female,0,30,46.47,1399.58,One year,Credit card,1,0
CUST-00068,Male,0,0,111.41,0.0,Two year,Electronic check,4,0
CUST-00069,Female,0,63,69.77,4120.18,Two year,Electronic check,3,0
CUST-00070,Male,0,39,79.52,3285.87,One year,Electronic check,5,0
CUST-00071,Male,0,19,50.96,873.15,One year,Bank transfer,8,0
CUST-00072,Male,0,67,74.99,4734.01,Two year,Credit card,8,0
CUST-00073,Female,0,44,50.58,2417.67,One year,Electronic check,3,0
CUST-00074,Male,0,28,23.0,664.13,Month-to-month,Credit card,1,0
CUST-00075,Male,0,63,39.38,2388.09,Two year,Bank transfer,6,0
CUST-00076,Male,1,7,18.02,137.55,Two year,Bank transfer,2,0
CUST-00077,Female,0,18,117.48,2078.05,Two year,Bank transfer,6,0
CUST-00078,Male,0,46,70.39,3315.4,One year,Mailed check,5,0
CUST-00079,Male,0,63,20.41,1250.46,Two year,Electronic check,1,0
CUST-00080,Male,0,65,97.74,6885.92,One year,Bank transfer,4,0
CUST-00081,Male,1,46,34.19,1709.62,Two year,Mailed check,7,0
CUST-00082,Female,0,55,59.17,3280.54,One year,Credit card,4,0
CUST-00083,Male,0,38,118.08,4602.12,One year,Mailed check,4,0
CUST-00084,Male,0,18,58.86,969.16,Two year,Bank transfer,1,0
CUST-00085,Male,0,36,75.61,2505.0,Month-to-month,Bank transfer,2,1
CUST-00086,Male,0,9,30.75,259.82,Month-to-month,Mailed check,3,0
CUST-00087,Male,0,63,42.07,2734.48,Two year,Credit card,1,0
CUST-00088,Male,1,66,118.5,7083.86,Month-to-month,Credit card,2,0
